Type_MessageDTO,_id,session,creationDateTime,content,recipient,sender,sentOnBehalfOf,timeZone
MessageDTO, "62a871022d0e618db9059969","62a86c0d2d0e618db9059032","2022-06-14T11:29:06.226+0000","Martian Meteorology Specialist: Helloooo there :) Team Moscow is here and ready to go whenever you are! ~Ashley (Martian Meteorologist)","teamvc","teamvc","vc1","America/Chicago"
MessageDTO, "62a871062d0e618db90599a7","62a86c0d2d0e618db9059032","2022-06-14T11:29:10.170+0000","Martian Meteorology Specialist: Helloooo there :) Team Moscow is here and ready to go whenever you are! ~Ashley (Martian Meteorologist)","teamConstr","teamvc","vc1","America/Chicago"
MessageDTO, "62a8710a2d0e618db90599e0","62a86c0d2d0e618db9059032","2022-06-14T11:29:14.567+0000","Martian Meteorology Specialist: Helloooo there :) Team Moscow is here and ready to go whenever you are! ~Ashley (Martian Meteorologist)","teamEng","teamvc","vc1","America/Chicago"
MessageDTO, "62a871102d0e618db9059a44","62a86c0d2d0e618db9059032","2022-06-14T11:29:20.839+0000","Martian Meteorology Specialist: Helloooo there :) Team Moscow is here and ready to go whenever you are! ~Ashley (Martian Meteorologist)","teamGeo","teamvc","vc1","America/Chicago"
MessageDTO, "62a871652d0e618db905a1e0","62a86c0d2d0e618db9059032","2022-06-14T11:30:45.628+0000","Sedimentologist: HELLO TEAM WE ARE OUT HERE @ 14:30","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "62a871ac2d0e618db905a8f9","62a86c0d2d0e618db9059032","2022-06-14T11:31:56.865+0000","HI HELLO I DON'T KNOW WHAT HAPPENED WITH MY EARLIER MESSAGE BUT I WOULD LIKE TO REQUEST AN UPDATE AS TO WHAT'S POPPIN","con1","geo3","geo3","America/Chicago"
MessageDTO, "62a871b12d0e618db905a982","62a86c0d2d0e618db9059032","2022-06-14T11:32:01.788+0000","@ 14:31","con1","geo3","geo3","America/Chicago"
MessageDTO, "62a871c42d0e618db905aba3","62a86c0d2d0e618db9059032","2022-06-14T11:32:20.904+0000","HELLO DRILL","con2","geo3","geo3","America/Chicago"
MessageDTO, "62a871c92d0e618db905ac2d","62a86c0d2d0e618db9059032","2022-06-14T11:32:25.626+0000","IT IS THAT TIME AGAIN","con2","geo3","geo3","America/Chicago"
MessageDTO, "62a871cf2d0e618db905acd9","62a86c0d2d0e618db9059032","2022-06-14T11:32:31.617+0000","What's poppin'?","con2","geo3","geo3","America/Chicago"
MessageDTO, "62a871d52d0e618db905ad83","62a86c0d2d0e618db9059032","2022-06-14T11:32:37.056+0000","@ 14:32","con2","geo3","geo3","America/Chicago"
MessageDTO, "62a872012d0e618db905b2c9","62a86c0d2d0e618db9059032","2022-06-14T11:33:21.940+0000","Sedimentologist: HELLO ENGINEERING TEAM IT'S PROJECT RED TIME - TURN ON ALL CAPS IF YOU WANT TO HAVE A SUCCESSFUL MISSION TODAY","teamEng","teamGeo","geo3","America/Chicago"
MessageDTO, "62a8724a2d0e618db905b9dd","62a86c0d2d0e618db9059032","2022-06-14T11:34:34.600+0000","Sedimentologist: (18, 35) - 58% loss, 322414.04 available, ?135,413.8968? after loss","teamGeo","teamGeo","geo3","America/Chicago"
