Type_MessageDTO,_id,session,creationDateTime,content,recipient,sender,sentOnBehalfOf,timeZone
MessageDTO, "61a6189b2d0e8eebfb8e82f6","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:27:07.600+0000","Sedimentologist: What's up y'all? It's a boi the sedimentologist back at it again with the Project Red. Letsgoooo","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61a618a22d0e8eebfb8e838f","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:27:14.281+0000","Materials Specialist: Hello from Mars","teamConstr","teamConstr","con3","America/Chicago"
MessageDTO, "61a618a62d0e8eebfb8e83f4","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:27:18.826+0000","Sedimentologist: 15:27 Moscow time\n","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61a618c42d0e8eebfb8e869a","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:27:48.270+0000","Nice to see you again","con2","con3","con3","America/Chicago"
MessageDTO, "61a618d92d0e8eebfb8e887b","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:28:09.781+0000","Martian Meteorology Specialist: Hello Team! Martian Meteorologist here, reporting from Moscow :)","teamvc","teamvc","vc1","America/Chicago"
MessageDTO, "61a618da2d0e8eebfb8e8890","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:28:10.793+0000","What's up Operations Spesh, it's ya boi, The Sedimentologist. Back at it again with the Project Red Design Task. 15:28 Moscow","con1","geo3","geo3","America/Chicago"
MessageDTO, "61a618e02d0e8eebfb8e891e","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:28:16.910+0000","Hello!!\n","con3","con2","con2","America/Chicago"
MessageDTO, "61a618ec2d0e8eebfb8e8a2f","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:28:28.641+0000","Mic check","vc1","geo3","geo3","America/Chicago"
MessageDTO, "61a619032d0e8eebfb8e8c64","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:28:51.777+0000","pur pur\n","con2","geo1","geo1","America/Chicago"
MessageDTO, "61a6190a2d0e8eebfb8e8d0b","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:28:58.175+0000","Sedimentologist: Request Comms check 15:28. Confirm?","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61a6190f2d0e8eebfb8e8da9","61a6182a2d0e8eebfb8e7a42","2021-11-30T12:29:03.655+0000","Request Comms check 15:28. Confirm?","con1","geo3","geo3","America/Chicago"
