Type_MessageDTO,_id,session,creationDateTime,content,recipient,sender,sentOnBehalfOf,timeZone
MessageDTO, "625e9c722d0ea8add9a0115b","625e95582d0ea8add99ffa40","2022-04-19T11:26:42.441+0000","Sedimentologist: What is literally up my dudes? Comms Check 14:26","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625e9c812d0ea8add9a0127a","625e95582d0ea8add99ffa40","2022-04-19T11:26:57.295+0000","hey","geo3","geo1","geo1","America/Chicago"
MessageDTO, "625e9cb12d0ea8add9a01745","625e95582d0ea8add99ffa40","2022-04-19T11:27:45.165+0000","POOP","geo1","geo3","geo3","America/Chicago"
MessageDTO, "625e9cca2d0ea8add9a019fa","625e95582d0ea8add99ffa40","2022-04-19T11:28:10.911+0000","poop staff","geo3","geo1","geo1","America/Chicago"
MessageDTO, "625e9cd02d0ea8add9a01a83","625e95582d0ea8add99ffa40","2022-04-19T11:28:16.411+0000","YO YO YO COMMS CHECK @ 14:28 WHAT'S POPPIN OVER THERE?","con1","geo3","geo3","America/Chicago"
MessageDTO, "625e9cda2d0ea8add9a01b87","625e95582d0ea8add99ffa40","2022-04-19T11:28:26.753+0000","WHAT'S UP BIG DRILL COMMS CHECK 14:28","con2","geo3","geo3","America/Chicago"
MessageDTO, "625e9ce32d0ea8add9a01c67","625e95582d0ea8add99ffa40","2022-04-19T11:28:35.662+0000","True","geo1","geo3","geo3","America/Chicago"
MessageDTO, "625e9ce52d0ea8add9a01c92","625e95582d0ea8add99ffa40","2022-04-19T11:28:37.612+0000","Materials Specialist: Hello","teamConstr","teamConstr","con3","America/Chicago"
MessageDTO, "625e9ced2d0ea8add9a01d71","625e95582d0ea8add99ffa40","2022-04-19T11:28:45.382+0000","Martian Meteorology Specialist: Greetings from Moscow! We're ready to go whenever you all are :)","teamvc","teamvc","vc1","America/Chicago"
MessageDTO, "625e9cf02d0ea8add9a01dbb","625e95582d0ea8add99ffa40","2022-04-19T11:28:48.504+0000","Martian Meteorology Specialist: Greetings from Moscow! We're ready to go whenever you all are :)","teamConstr","teamvc","vc1","America/Chicago"
MessageDTO, "625e9cf42d0ea8add9a01e25","625e95582d0ea8add99ffa40","2022-04-19T11:28:52.738+0000","Martian Meteorology Specialist: Greetings from Moscow! We're ready to go whenever you all are :)","teamEng","teamvc","vc1","America/Chicago"
MessageDTO, "625e9cf92d0ea8add9a01eb7","625e95582d0ea8add99ffa40","2022-04-19T11:28:57.804+0000","Materials Specialist: What do you think about 31,31","teamConstr","teamConstr","con3","America/Chicago"
MessageDTO, "625e9cfa2d0ea8add9a01ed6","625e95582d0ea8add99ffa40","2022-04-19T11:28:58.927+0000","Martian Meteorology Specialist: Greetings from Moscow! We're ready to go whenever you all are :)","teamGeo","teamvc","vc1","America/Chicago"
MessageDTO, "625e9d492d0ea8add9a0269e","625e95582d0ea8add99ffa40","2022-04-19T11:30:17.074+0000","Sedimentologist: (31, 31) - 255668.76, 75% loss, ?63,917.19? after loss","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625e9d542d0ea8add9a027cf","625e95582d0ea8add99ffa40","2022-04-19T11:30:28.177+0000","(31, 31) - 255668.76 available, 75% loss, ?63,917.19? after loss","con1","geo3","geo3","America/Chicago"
MessageDTO, "625e9d602d0ea8add9a02916","625e95582d0ea8add99ffa40","2022-04-19T11:30:40.382+0000","Hello","eng2","con3","con3","America/Chicago"
MessageDTO, "625e9d622d0ea8add9a02942","625e95582d0ea8add99ffa40","2022-04-19T11:30:42.007+0000","31, 31 isn't great but it's the best potential one we've found so far. Holla back","con1","geo3","geo3","America/Chicago"
MessageDTO, "625e9d6a2d0ea8add9a02a25","625e95582d0ea8add99ffa40","2022-04-19T11:30:50.180+0000","Sedimentologist: AHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625e9d6d2d0ea8add9a02a74","625e95582d0ea8add99ffa40","2022-04-19T11:30:53.338+0000","we agreed here on 31,31","eng2","con3","con3","America/Chicago"
MessageDTO, "625e9d762d0ea8add9a02b5b","625e95582d0ea8add99ffa40","2022-04-19T11:31:02.620+0000","What do you think?","eng2","con3","con3","America/Chicago"
MessageDTO, "625e9e212d0ea8add9a03c25","625e95582d0ea8add99ffa40","2022-04-19T11:33:53.830+0000","Sedimentologist: HHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHHH","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625e9ed62d0ea8add9a04fb8","625e95582d0ea8add99ffa40","2022-04-19T11:36:54.921+0000","Sedimentologist: (30, 40) - 123669.15, 71% loss, ?35,864.0535?","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625e9ee32d0ea8add9a05119","625e95582d0ea8add99ffa40","2022-04-19T11:37:07.711+0000","Sedimentologist: (30, 40) is alright for us, but not a ton of water","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625e9ef52d0ea8add9a0530c","625e95582d0ea8add99ffa40","2022-04-19T11:37:25.957+0000","(30, 40) - 123669.15, 71% loss, ?35,864.0535? after loss","con1","geo3","geo3","America/Chicago"
MessageDTO, "625e9efe2d0ea8add9a0540e","625e95582d0ea8add99ffa40","2022-04-19T11:37:34.371+0000","It's not a ton of water, but it's aight, I guess","con1","geo3","geo3","America/Chicago"
MessageDTO, "625e9f5e2d0ea8add9a06177","625e95582d0ea8add99ffa40","2022-04-19T11:39:10.233+0000","Structural Geologist: 6:38 what is LITERALLY up my dudes? the sky!","teamGeo","teamGeo","geo2","America/Chicago"
MessageDTO, "625e9f5e2d0ea8add9a061a6","625e95582d0ea8add99ffa40","2022-04-19T11:39:10.989+0000","Fluid Engineer: ready to go now!","teamvc","teamEng","eng3","America/Chicago"
MessageDTO, "625e9f6f2d0ea8add9a064be","625e95582d0ea8add99ffa40","2022-04-19T11:39:27.270+0000","Structural Geologist: 6:39 AHHHHHHHHHHHHH","teamGeo","teamGeo","geo2","America/Chicago"
MessageDTO, "625e9fa72d0ea8add9a07136","625e95582d0ea8add99ffa40","2022-04-19T11:40:23.088+0000","Martian Terrain Specialist: Great! Working on 31,31 now","teamvc","teamvc","vc2","America/Chicago"
MessageDTO, "625e9fbd2d0ea8add9a07643","625e95582d0ea8add99ffa40","2022-04-19T11:40:45.707+0000","(21, 35) - 161408.51, 41% loss, ?95,231.0209? after loss","con1","geo3","geo3","America/Chicago"
MessageDTO, "625e9fd62d0ea8add9a07b54","625e95582d0ea8add99ffa40","2022-04-19T11:41:10.356+0000","Martian Meteorology Specialist: (31, 31), (35, 6), (30, 40), and (21,35) seem to be decent options for our group here. Do any of those work for you all? ","teamGeo","teamvc","vc1","America/Chicago"
MessageDTO, "625e9fd92d0ea8add9a07bf9","625e95582d0ea8add99ffa40","2022-04-19T11:41:13.872+0000","Martian Meteorology Specialist: (31, 31), (35, 6), (30, 40), and (21,35) seem to be decent options for our group here. Do any of those work for you all? ","teamConstr","teamvc","vc1","America/Chicago"
MessageDTO, "625e9fdd2d0ea8add9a07cc0","625e95582d0ea8add99ffa40","2022-04-19T11:41:17.626+0000","Martian Meteorology Specialist: (31, 31), (35, 6), (30, 40), and (21,35) seem to be decent options for our group here. Do any of those work for you all? ","teamEng","teamvc","vc1","America/Chicago"
MessageDTO, "625e9fe32d0ea8add9a07df8","625e95582d0ea8add99ffa40","2022-04-19T11:41:23.752+0000","21, 35 is pretty dece but some people here are like \""meh\"" about it","con1","geo3","geo3","America/Chicago"
MessageDTO, "625e9feb2d0ea8add9a07fa9","625e95582d0ea8add99ffa40","2022-04-19T11:41:31.867+0000","Drilling Specialist: Hello, we are now online, mechanical engineer is not here just to let you know. Looking at 45, 47","teamvc","teamConstr","con2","America/Chicago"
MessageDTO, "625e9fec2d0ea8add9a07fb8","625e95582d0ea8add99ffa40","2022-04-19T11:41:32.588+0000","Sedimentologist: (21, 35) - 161408.51, 41% loss, ?95,231.0209? after loss","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625e9ff62d0ea8add9a08204","625e95582d0ea8add99ffa40","2022-04-19T11:41:42.315+0000","Sedimentologist: Pretty dece (21, 35) but some are like \""meh\""","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625ea0122d0ea8add9a087c6","625e95582d0ea8add99ffa40","2022-04-19T11:42:10.260+0000","Operations Specialist: 31,31 is not super great for us","teamConstr","teamConstr","con1","America/Chicago"
MessageDTO, "625ea03c2d0ea8add9a09110","625e95582d0ea8add99ffa40","2022-04-19T11:42:52.293+0000","Sedimentologist: I'M ABOUT TO HIT MY LONGEST YEAH BOI EVER","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625ea0422d0ea8add9a09281","625e95582d0ea8add99ffa40","2022-04-19T11:42:58.356+0000","Sedimentologist: LET'S GO","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "625ea05c2d0ea8add9a097d6","625e95582d0ea8add99ffa40","2022-04-19T11:43:24.709+0000","Drilling Specialist: Now looking at 43, 27","teamvc","teamConstr","con2","America/Chicago"
