Type_MessageDTO,_id,session,creationDateTime,content,recipient,sender,sentOnBehalfOf,timeZone
MessageDTO, "61cb01202d0e1346d02fb43f","61cafc412d0e1346d02fb1d8","2021-12-28T12:20:48.856+0000","Sedimentologist: 15:20 Comms check, comms check, comms check. It is (not) Wednesday my dudes. It is a balmy -7 degrees Celsius here in Moscow, Russia, but that doesn't really mean much to us as we are in a space capsule. Give us that thumbs up somehow when you receive this message! All of us here are looking forward to getting down to business with y'all today.","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61cb01252d0e1346d02fb457","61cafc412d0e1346d02fb1d8","2021-12-28T12:20:53.108+0000","15:20 Comms check, comms check, comms check. It is (not) Wednesday my dudes. It is a balmy -7 degrees Celsius here in Moscow, Russia, but that doesn't really mean much to us as we are in a space capsule. Give us that thumbs up somehow when you receive this message! All of us here are looking forward to getting down to business with y'all today.","con1","geo3","geo3","America/Chicago"
MessageDTO, "61cb02672d0e1346d02fbd65","61cafc412d0e1346d02fb1d8","2021-12-28T12:26:15.308+0000","Test","geo1","vc1","vc1","America/Chicago"
MessageDTO, "61cb02932d0e1346d02fc0b5","61cafc412d0e1346d02fb1d8","2021-12-28T12:26:59.962+0000","Martian Meteorology Specialist: Hello team! The Moscow contingent is here and ready to go. ","teamvc","teamvc","vc1","America/Chicago"
MessageDTO, "61cb02d82d0e1346d02fc5c4","61cafc412d0e1346d02fb1d8","2021-12-28T12:28:08.713+0000","Martian Meteorology Specialist: Hello! The Moscow contingent is here and ready to go.","teamConstr","teamvc","vc1","America/Chicago"
MessageDTO, "61cb02df2d0e1346d02fc64c","61cafc412d0e1346d02fb1d8","2021-12-28T12:28:15.786+0000","Martian Meteorology Specialist: Hello! The Moscow contingent is here and ready to go.\n","teamEng","teamvc","vc1","America/Chicago"
MessageDTO, "61cb02ec2d0e1346d02fc74b","61cafc412d0e1346d02fb1d8","2021-12-28T12:28:28.726+0000","Martian Meteorology Specialist: Hello! The Moscow contingent is here and ready to go.","teamGeo","teamvc","vc1","America/Chicago"
MessageDTO, "61cb037f2d0e1346d02fd3ae","61cafc412d0e1346d02fb1d8","2021-12-28T12:30:55.516+0000","07, 11 - OK, 221352.1 Available, ?115,103.092? After loss\n","con1","geo3","geo3","America/Chicago"
MessageDTO, "61cb03862d0e1346d02fd44f","61cafc412d0e1346d02fb1d8","2021-12-28T12:31:02.838+0000","15:30","con1","geo3","geo3","America/Chicago"
MessageDTO, "61cb03922d0e1346d02fd55b","61cafc412d0e1346d02fb1d8","2021-12-28T12:31:14.542+0000","Sedimentologist: 15:30 (07, 11) - OK, 221352.1 Available, ?115,103.092? After loss","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61cb03e52d0e1346d02fde18","61cafc412d0e1346d02fb1d8","2021-12-28T12:32:37.443+0000","Pi pi Pu Pu\n","vc1","geo1","geo1","America/Chicago"
MessageDTO, "61cb04262d0e1346d02fe599","61cafc412d0e1346d02fb1d8","2021-12-28T12:33:42.129+0000","Sedimentologist: 15:53 (10, 30) - OK, 104140 Available, ?60,401.2? After loss","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61cb042f2d0e1346d02fe6c3","61cafc412d0e1346d02fb1d8","2021-12-28T12:33:51.044+0000","15:33: (10, 30) - OK, 104140 Available, ?60,401.2? After loss","con1","geo3","geo3","America/Chicago"
MessageDTO, "61cb04382d0e1346d02fe825","61cafc412d0e1346d02fb1d8","2021-12-28T12:34:00.200+0000","Sedimentologist: Sorry, 15:33********\n","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61cb043e2d0e1346d02fe914","61cafc412d0e1346d02fb1d8","2021-12-28T12:34:06.730+0000","Sedimentologist: O'DOYLE RULES","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61cb05c12d0e1346d03026a3","61cafc412d0e1346d02fb1d8","2021-12-28T12:40:33.179+0000","Sedimentologist: 15:40 (07, 11) is really our primary. (10, 30) is our backup.","teamGeo","teamGeo","geo3","America/Chicago"
MessageDTO, "61cb05c52d0e1346d0302754","61cafc412d0e1346d02fb1d8","2021-12-28T12:40:37.865+0000","15:40 (07, 11) is really our primary. (10, 30) is our backup.","con1","geo3","geo3","America/Chicago"
MessageDTO, "61cb05e42d0e1346d0302c26","61cafc412d0e1346d02fb1d8","2021-12-28T12:41:08.280+0000","Martian Meteorology Specialist: We like points (7,11) and (10,30).  What do you think?","teamGeo","teamvc","vc1","America/Chicago"
MessageDTO, "61cb05e82d0e1346d0302cdf","61cafc412d0e1346d02fb1d8","2021-12-28T12:41:12.304+0000","Martian Meteorology Specialist: We like points (7,11) and (10,30).  What do you think?","teamConstr","teamvc","vc1","America/Chicago"
MessageDTO, "61cb05ed2d0e1346d0302db2","61cafc412d0e1346d02fb1d8","2021-12-28T12:41:17.291+0000","Martian Meteorology Specialist: We like points (7,11) and (10,30).  What do you think?","teamEng","teamvc","vc1","America/Chicago"
MessageDTO, "61cb05f42d0e1346d0302ed4","61cafc412d0e1346d02fb1d8","2021-12-28T12:41:24.578+0000","Hi! We 7,11","eng2","eng1","eng1","America/Chicago"
MessageDTO, "61cb05fd2d0e1346d0303073","61cafc412d0e1346d02fb1d8","2021-12-28T12:41:33.964+0000","Hi! We 7,11","eng3","eng1","eng1","America/Chicago"
MessageDTO, "61cb06032d0e1346d030316b","61cafc412d0e1346d02fb1d8","2021-12-28T12:41:39.868+0000","Biochemical Engineer: Hi! We 7,11","teamEng","teamEng","eng1","America/Chicago"
MessageDTO, "61cb06072d0e1346d0303206","61cafc412d0e1346d02fb1d8","2021-12-28T12:41:43.303+0000","got em.\n","geo1","vc1","vc1","America/Chicago"
