,speaker,content,block,session,labels,labels_h
0,Nastya, Ninety and slash or?,0,3,4,follow-me
1,Ryan to Zheny,And then just your number. So [UI],0,3,0,question
2,Natash,No…,0,3,0,question
3,Zheny,[UI],0,3,0,question
4,Ali,You have a password.,0,3,0,question
5,Nasty,What password?,0,3,4,follow-me
6,Rya,"Sirius capital “S,” lower case the rest in “Sirius” and then one nine at [@ sign]",0,3,0,question
7,Nasty,"Ah, the “at sign.”",0,3,0,question
8,Rya,Mhm.,0,3,0,question
9,Rya,At your number. Which is three and six.,0,3,0,question
10,Nasty,No…,0,3,0,question
11,Dash,You don’t get very many attempts to log in. Before [SL] it shuts down.,0,3,0,question
12,Natasha to Rya,Can you do it?,0,3,4,follow-me
13,Zheny,"Oh, was that possible?",0,3,4,follow-me
14,Dash,How?,0,3,4,follow-me
15,Zheny,We get several tries.,0,3,0,question
16,Dash,//[UI],0,3,0,question
17,Ali,//[UI]… //I tried.,0,3,0,question
18,Zheny,//[UI],0,3,0,question
19,Natash,//[UI],0,3,0,question
20,Zheny,"Well, it’s still not going to make it.",0,3,0,question
21,Nastya to Ali,[UI],0,3,0,question
22,Alik to Nasty,"//Yes, I don’t remember what.",0,3,0,question
23,Natasha to Rya,"//Oh, thank you.",0,3,0,question
24,Rya,"//So, crew dash two. Capital “S”…",0,3,0,question
25,Nasty,"//Well what, did you find it? …No?",0,3,4,follow-me
26,Ali,So crew dash number and then what?,0,3,4,follow-me
27,Rya,Capital “S” – Sirius.,0,3,0,question
28,Dash,[UI],0,3,0,question
29,Rya,One nine.,0,3,0,question
30,Ali,Yes.,0,3,0,question
31,Rya,At.,0,3,0,question
32,Ali,Mhm.,0,3,0,question
33,Rya,[UI],0,3,0,question
34,Ali,That’s it?,0,3,4,follow-me
35,Rya,Five.,0,3,0,question
36,Nasty,Letters all upper or //lower case?,0,3,4,follow-me
37,Rya,//Lower case.,0,3,0,question
38,Natash,Lower case and upper case.,0,3,0,question
39,Ali,Lower case.,0,3,0,question
40,Zheny,What do you need?,0,3,4,follow-me
41,Natash,A small spoon… And I didn’t get a cup. Thank you.,0,3,0,question
42,Ali,"So, let’s turn on the recorder and begin the process.",0,3,0,question
43,Dash,"Are we going to watch the whole video again [UI]? …The video again? Yes, we’re going to rewatch it?",0,3,0,question
44,Ali,Yes.,0,3,0,question
45,Zheny,"That’s fine, do nothing and watch a video.",0,3,0,question
46,Ali,"At first, yes. The video is //fourteen minutes…",0,3,0,question
47,Zheny,//That’s pretty good.,0,3,0,question
48,Dash,The clock is ticking…,0,3,0,question
49,Zheny,The soldier sleeps away his service.,0,3,0,question
50,Natash,Ready to turn on.,0,3,0,question
51,Ali,Everyone ready?,0,3,4,follow-me
52,Natash,Yes.,0,3,0,question
53,Ali,"One, two, three.",0,3,0,question
54,Zheny,Okay.,0,3,0,question
55,Ali,"Now we need to open Project Red, Training, Training videos… Project Red, Training, Training videos…",0,3,0,question
56,Zheny,Training… Training videos,0,3,0,question
57,Ali,"Mhm… And play. Only one computer will have sound, and we’ll all// listen to it.",0,3,0,question
58,Natash,//Can we listen to it all with headphones?,0,3,4,follow-me
59,Dash,"Yes, let’s do headphones.",0,3,0,question
60,Ali,"You want to use headphones? //Well, go ahead, as you like.",0,3,4,follow-me
61,Natash,"//Well, of course…",0,3,0,question
62,Dash,//Which video?,0,3,4,follow-me
63,Ali,The first one: Design overview.,0,3,0,question
64,Zheny,Excellent.,0,3,0,question
65,Ali,We’ve seen this three times now.,0,3,0,question
66,Zheny,We saw this film? //[UI],0,3,0,question
67,Ali,[UI],0,3,0,question
68,Zheny,[UI],0,3,0,question
69,-,37,0,3,0,question
70,Ali,[SL] Project assignment,0,3,0,question
71,Ali,That’s it. We watch our individual video next.,0,3,0,question
72,Ali,"On the second video now, right?",0,3,4,follow-me
73,Zheny,Mhm.,0,3,0,question
74,Nasty,Messages //[UI],1,3,0,question
75,Dash,[UI]…Things are going.,1,3,0,question
76,Nasty,It happens. Oh.,1,3,0,question
77,Ali,[UI]… [UI]?,1,3,0,question
78,Rya,No,1,3,0,question
79,Ali,"So, everyone ready?",1,3,4,follow-me
80,Rya,May I ask if you could brag one of those binders [UI],1,3,0,question
81,Ali,"That’s right, yeah… one second… We need them all. Don’t we?",1,3,4,follow-me
82,Rya,"Yes, we do. [UI]",1,3,0,question
83,Zheny,[UI],1,3,0,question
84,Ali,And this is for Dasha.,2,3,0,question
85,Zheny,Thanks.,2,3,0,question
86,Ali,This is me.,2,3,0,question
87,Zheny,"Ah, meteorologist.  Meteorologist.",2,3,0,question
88,Ali,"This is you, Zhenya – terrain.",2,3,0,question
89,Zheny,Terrain – yes.,2,3,0,question
90,Ali,"This is Nastya… Mechanical, ah, this is you. Sorry.",2,3,0,question
91,Natash,I’m still on your crew.,2,3,0,question
92,Ali,"So, next we go to the folder where it says, “Crew Data.”",2,3,0,question
93,Zheny,"Crew Data. //So, we leave here again?",2,3,4,follow-me
94,Ali,//Then Project Red… It’s on your desktop “Crew Data.”,2,3,0,question
95,Zheny,"Ah, so we just minimize this, right?",2,3,4,follow-me
96,Ali,"Yes, you can just minimize. Crew Data, Project Red… MD forty-three.",2,3,0,question
97,Nasty,"Wait, please.",2,3,0,question
98,Ali,MD forty-three.,2,3,0,question
99,Zheny,"Oh, something happened here.",2,3,0,question
100,Ali,"//Yes, you can stop.",2,3,0,question
101,Natash,//Is that old?,2,3,4,follow-me
102,Ali,"It’s new. It’s today. I mean, for today.",2,3,0,question
103,Ali,Now we listen to our friends. Yes… Oh! Maxwell is first.,2,3,0,question
104,Zheny,[SL] We’re family.,2,3,0,question
105,Nasty,I’m already //overheating.,2,3,0,question
106,Ali,//[UI],2,3,0,question
107,Natash,Sounds the same as last time.,2,3,0,question
108,Ali,[UI] Anastasia.,2,3,0,question
109,Nastya,Not happening.,2,3,0,question
110,Zheny,Something is delaying everything.,2,3,0,question
111,Ali,That’s us.,2,3,0,question
112,Ali,Are we still listening? …They are still listening.,2,3,4,follow-me
113,Ali,"She is still listening… Ryan, are you still listening?",2,3,4,follow-me
114,Rya,No.,2,3,0,question
